"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",0.717655,0.8135695,0.910585,0.814370092733333,0.0495004038431252,NA,0.00039845285165101,0.8,15433,-0.00353385795959835,1.00016506912904
"ndt.mu",0.972015,1.157795,1.34386,1.15635512373333,0.0952947547271099,NA,0.000564196669896351,0.6,28528,-0.00355508476806677,1.00011928316332
"alpha.mu",0.277586,0.3446075,0.405047,0.342623385287333,0.0327981938235742,NA,0.000238451000943936,0.7,18919,0.0075305867754171,1.0000030338372
"bias.mu",0.480729,0.524704,0.566887,0.524640981866667,0.0218627809231609,NA,0.000133254663678233,0.6,26918,0.00031301473138656,1.00013031832096
"thetaGaze.mu",0.156463,0.2958605,0.421071,0.291881149303333,0.0670186488049998,NA,0.000565316434022661,0.8,14054,0.0012439652759657,1.00005949975575
"thetaGaze[1]",0.0100223,0.197407,0.485697,0.21838227889,0.142175839055949,NA,0.000866318986388905,0.6,26934,-0.00529794006399286,0.999992999677677
"thetaGaze[2]",0.0100084,0.16596,0.392578,0.1811054129,0.114773060501694,NA,0.000754385363819177,0.7,23147,-0.000673423059578188,1.00001289167703
"thetaGaze[3]",0.0100079,0.1786625,0.441987,0.19770649827,0.129560510352379,NA,0.000785657077045905,0.6,27194,-0.000985628922969053,1.00009523822632
"thetaGaze[4]",0.0100521,0.2631965,0.540912,0.273332104633333,0.151692406459523,NA,0.000946442520939337,0.6,25689,-0.0115642997631636,0.999971581922782
"thetaGaze[5]",0.0500978,0.4096475,0.731048,0.407164592553333,0.177016633524764,NA,0.00104585324161576,0.6,28647,0.00145686097951177,1.00009889760658
"thetaGaze[6]",0.0100001,0.307169,0.567551,0.309230506643333,0.153192513974113,NA,0.000972447335527138,0.6,24817,-0.00214854857736375,1.00006595644503
"thetaGaze[7]",0.0111806,0.3492045,0.600687,0.343745973643333,0.159946184516742,NA,0.00110427867413963,0.7,20979,0.00373715602609622,1.00019640969381
"thetaGaze[8]",0.0100049,0.1336275,0.351871,0.15287145761,0.104879598699635,NA,0.000737164629781166,0.7,20242,-0.00259876368516491,1.00008137079519
"thetaGaze[9]",0.010023,0.22644,0.487512,0.238505475393333,0.140001858543155,NA,0.000892667567646538,0.6,24597,0.00374280893459792,0.999983439354517
"thetaGaze[10]",0.0100065,0.25664,0.606952,0.27939666647,0.17774038715857,NA,0.00123527164352797,0.7,20704,-0.0116519574942691,1.00016477701194
"thetaGaze[11]",0.0100241,0.1568775,0.410982,0.178470448903333,0.123046391591423,NA,0.000773418271796008,0.6,25311,0.0121814956170451,1.00003212230561
"thetaGaze[12]",0.0100071,0.1836895,0.374986,0.190303487886667,0.105714239260157,NA,0.000695451659237222,0.7,23106,-0.00236260634599543,1.00009261962166
"thetaGaze[13]",0.0100998,0.2972585,0.542874,0.296598821453333,0.14947959584951,NA,0.000973134684203971,0.7,23595,-0.000412159586932023,1.00005548830289
"thetaGaze[14]",0.0100016,0.211345,0.459108,0.22321154178,0.132990726378065,NA,0.00092909810845684,0.7,20489,-0.00324145148925922,1.00008913082933
"thetaGaze[15]",0.0107003,0.357759,0.666542,0.36136694383,0.179510939337098,NA,0.00107424303324558,0.6,27924,0.00306768081079853,1.00007961282043
"thetaGaze[16]",0.0100239,0.3130295,0.638244,0.323742968406667,0.177593689012758,NA,0.00107773966315631,0.6,27154,0.0167538585967403,1.00006741982622
"thetaGaze[17]",0.118606,0.444106,0.77259,0.4444881122,0.166807229372491,NA,0.000971835374744006,0.6,29461,-0.00543493097337407,1.00017785964393
"thetaGaze[18]",0.0100438,0.3180915,0.574921,0.319516363176667,0.154203933186731,NA,0.000997893891823297,0.6,23879,-0.00404135030764236,1.00002874191538
"thetaGaze[19]",0.0100166,0.2665685,0.572029,0.281928700996667,0.161852320985291,NA,0.000990822819709445,0.6,26684,-0.00474984981635778,1.0000027948914
"thetaGaze[20]",0.0100033,0.2022225,0.489918,0.223090702296667,0.142955622625761,NA,0.00089886355608223,0.6,25294,-0.00468586184601098,1.00006234834532
"thetaGaze[21]",0.060522,0.436266,0.765196,0.432473568433333,0.182634163896679,NA,0.00112782198760422,0.6,26223,-0.00508920785996426,1.00018968851333
"thetaGaze[22]",0.0100025,0.2331685,0.489238,0.243968294556667,0.138971928754014,NA,0.00088817606070787,0.6,24483,-0.00234517797530239,0.999970512186763
"thetaGaze[23]",0.0437483,0.3611025,0.632145,0.357240001293333,0.152854587632249,NA,0.0010546983008621,0.7,21004,-0.000775761616631267,1.00006359305564
"thetaGaze[24]",0.0106458,0.3687265,0.646051,0.36574518445,0.171488475797584,NA,0.00105030822060309,0.6,26659,0.00406210027788529,1.00005053697036
"thetaGaze[25]",0.0106643,0.3414025,0.592091,0.337061447913333,0.15726506504461,NA,0.00100077356061424,0.6,24694,-0.00151790301284337,1.00003722921942
"thetaGaze[26]",0.0100641,0.255831,0.508054,0.262858228166667,0.141594659583337,NA,0.000912989930198156,0.6,24053,-0.00581268714560952,1.00003268561184
