"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",10.1468,10.7371,11.3487,10.7418910186667,0.304540068645889,NA,0.0139025166245651,4.6,480,0.707529658762768,1.00374988540955
"ndt.mu",0.279955,0.312475,0.343664,0.312432777966667,0.0161243417069385,NA,9.56803446046708e-05,0.6,28400,0.0114128816101371,1.0002111722802
"alpha.mu",0.613343,0.6570605,0.700849,0.657029374733333,0.0222889463221237,NA,0.000197151855560825,0.9,12781,0.0396244881681069,1.00007713288201
"bias.mu",0.472174,0.5090645,0.545112,0.509004232933333,0.0186867907299105,NA,0.000145042798549554,0.8,16599,0.0349708754899549,0.999977983569281
"thetaGaze.mu",0.0752044,0.1587125,0.235523,0.15612022724,0.0403250295603559,NA,0.00123000642457799,3.1,1075,0.354848904449089,1.00097243112302
"thetaGaze[1]",0.0100116,0.0928853,0.198999,0.0987163993533333,0.0556857663454881,NA,0.000728468619638996,1.3,5843,0.0525148071915917,1.00051292020046
"thetaGaze[2]",0.0100004,0.0918961,0.204919,0.0988789919066667,0.0584269150827677,NA,0.00150582161775705,2.6,1505,0.367058668797794,1.00092895399911
"thetaGaze[3]",0.0494068,0.174063,0.280941,0.171906652143333,0.059330508415059,NA,0.000974447532157928,1.6,3707,0.112772815827207,1.00021908589504
"thetaGaze[4]",0.0102217,0.1369835,0.249891,0.13854691185,0.0659709500639065,NA,0.00160314985015528,2.4,1693,0.336242233789667,1.0011414969923
"thetaGaze[5]",0.0970291,0.21808,0.332251,0.21582609677,0.0602338891975998,NA,0.00116063130821465,1.9,2693,0.189435068555609,1.00021665724939
"thetaGaze[6]",0.010097,0.1223775,0.23375,0.12490236407,0.0637212173090997,NA,0.00154036393813787,2.4,1711,0.33350768011463,1.00278909916572
"thetaGaze[7]",0.0270703,0.1716705,0.296671,0.17099587272,0.0693150627133879,NA,0.00202274289594497,2.9,1174,0.459184987313773,1.00172733821326
"thetaGaze[8]",0.0100016,0.0640923,0.163183,0.0732158501,0.04735497791511,NA,0.00100269868403701,2.1,2230,0.247377657609119,1.00188969693196
"thetaGaze[9]",0.010008,0.0972494,0.225234,0.105892605833333,0.0644639506170056,NA,0.00179627598628064,2.8,1288,0.412449786414813,1.00036954796063
"thetaGaze[10]",0.010273,0.150001,0.260861,0.148974400563333,0.0679510745270626,NA,0.00160283743597872,2.4,1797,0.308548657645057,1.00106372282988
"thetaGaze[11]",0.0301278,0.149069,0.261697,0.148089657733333,0.0599109683351234,NA,0.00138905292390488,2.3,1860,0.317703468371822,1.00261410938428
"thetaGaze[12]",0.0398548,0.172287,0.286324,0.170441117563333,0.0628243408433241,NA,0.00155404356031208,2.5,1634,0.352268388399682,1.00111442278764
"thetaGaze[13]",0.0100001,0.06028265,0.162638,0.0701938540333333,0.0472168650638969,NA,0.00117592507094369,2.5,1612,0.338612113765299,1.00204672474973
"thetaGaze[14]",0.0109039,0.1507405,0.279044,0.152454420863333,0.0738589453930358,NA,0.00205637446081021,2.8,1290,0.417323115072062,1.00119709987753
"thetaGaze[15]",0.0813424,0.2108855,0.33072,0.208883640843333,0.0632761327522088,NA,0.00123612928190226,2,2620,0.175605436545845,1.00157584048422
"thetaGaze[16]",0.0100022,0.0662751,0.177433,0.0770407690366667,0.0522068104872602,NA,0.000714808773852004,1.4,5334,0.0510123102016598,1.00059081383308
"thetaGaze[17]",0.0198701,0.142915,0.246726,0.14195651481,0.0593691090791775,NA,0.00108730386699787,1.8,2981,0.146317156653854,1.00005890578157
"thetaGaze[18]",0.0100041,0.104536,0.223914,0.11039030086,0.0629963642076388,NA,0.00150792151023542,2.4,1745,0.334969298993493,1.00145262530196
"thetaGaze[19]",0.0438242,0.164901,0.282465,0.164874205276667,0.0606629443254072,NA,0.000926023629765554,1.5,4291,0.0341150230959312,1.000127884445
"thetaGaze[20]",0.106934,0.1773415,0.244577,0.176805458343333,0.0351297098419951,NA,0.000397873723225873,1.1,7796,0.014883895637064,1.00090715129253
"thetaGaze[21]",0.136785,0.26282,0.380145,0.26113055996,0.0620692928458532,NA,0.00114526862064646,1.8,2937,0.159623667976685,1.00024640603308
"thetaGaze[22]",0.0100144,0.1271535,0.232482,0.12833624821,0.0616544718900474,NA,0.00127349200153048,2.1,2344,0.226185402983583,1.0015608610836
"thetaGaze[23]",0.0705808,0.20614,0.322683,0.203631125216667,0.0639206327206228,NA,0.00129120024665265,2,2451,0.19580276234823,1.00042478332804
"thetaGaze[24]",0.0100151,0.09154265,0.206394,0.098679684,0.0585884923892652,NA,0.00153027857324127,2.6,1466,0.39212840747901,1.00261948242962
"thetaGaze[25]",0.0100527,0.1409055,0.252282,0.141193717853333,0.0665852675859159,NA,0.00187532995714019,2.8,1261,0.444451918574502,1.00297094409233
"thetaGaze[26]",0.0100023,0.08655135,0.199745,0.0940916133033333,0.0571437441810074,NA,0.00145966733513746,2.6,1533,0.35661443775547,1.00271800659652
"thetaGaze[27]",0.0100878,0.128628,0.26507,0.13401691012,0.0735939855920335,NA,0.00214106346029064,2.9,1181,0.458168966330432,1.00043025434993
"thetaGaze[28]",0.0200995,0.160545,0.27827,0.15968158386,0.0676004583718026,NA,0.00159700336834168,2.4,1792,0.31418320588135,1.001011497013
"thetaGaze[29]",0.010002,0.0773355,0.183,0.08557078355,0.0526830148749113,NA,0.00129076581594886,2.5,1666,0.349036380267988,1.00220485387483
"thetaGaze[30]",0.128126,0.2473595,0.363482,0.245867323576667,0.0595326071815016,NA,0.000998503586122756,1.7,3555,0.112863490751236,1.00023786901095
"b2.p[1]",9.91556,10.7478,11.6192,10.753527875,0.429144190938984,NA,0.0126904094611686,3,1144,0.325617716612869,1.00087242197463
"b2.p[2]",9.87992,10.75335,11.6574,10.7606562266667,0.449250175232487,NA,0.0144339426249567,3.2,969,0.354037299830794,1.00083465053187
"b2.p[3]",9.8176,10.6676,11.5243,10.6673083643333,0.432064141909785,NA,0.0127424885890265,2.9,1150,0.305042774643379,1.00179768035553
"b2.p[4]",9.81079,10.70365,11.5915,10.7095713246667,0.449171324551318,NA,0.0136482018588716,3,1083,0.334225022821201,1.00256921976567
"b2.p[5]",9.78319,10.67735,11.5649,10.676180658,0.452012993890052,NA,0.013041367009047,2.9,1201,0.322704682400559,1.00104165254967
"b2.p[6]",9.96001,10.83375,11.7628,10.858548487,0.458053699949488,NA,0.0139650843524281,3,1076,0.34218899816974,1.00310578070744
"b2.p[7]",9.78332,10.68615,11.6298,10.6867037823333,0.466371473326155,NA,0.0147750565482302,3.2,996,0.350246682501248,1.00199671512163
"b2.p[8]",9.93517,10.76875,11.635,10.773789338,0.431729174237196,NA,0.0132759709397583,3.1,1058,0.346257459450827,1.00176235006307
"b2.p[9]",9.89647,10.7777,11.6804,10.7916038773333,0.450998351447223,NA,0.0139586137796985,3.1,1044,0.346788767500436,1.00292209166886
"b2.p[10]",9.78162,10.6958,11.6001,10.6985806213333,0.457925326625924,NA,0.0135007064762888,2.9,1150,0.334269003577819,1.00166354411098
"b2.p[11]",9.90606,10.7628,11.6642,10.76988365,0.447088618549088,NA,0.0130929851336417,2.9,1166,0.339781442936075,1.00133923858749
"b2.p[12]",9.74423,10.651,11.5355,10.6441485523333,0.454057964587483,NA,0.0131733858901005,2.9,1188,0.334855804014194,1.00138965505723
"b2.p[13]",9.95733,10.8054,11.7256,10.822351387,0.447721214425794,NA,0.0134306322438446,3,1111,0.376478331666191,1.00393404542122
"b2.p[14]",9.76165,10.6915,11.5515,10.6873090536667,0.454224552807016,NA,0.0137736730816592,3,1088,0.344298316963558,1.00107427997516
"b2.p[15]",9.78402,10.6821,11.5393,10.6764454476667,0.441729835340774,NA,0.0130671235749479,3,1143,0.317228102798186,1.00163679453628
"b2.p[16]",10.0142,10.8772,11.8066,10.897873691,0.455709434971178,NA,0.0137462084972443,3,1099,0.347889034585132,1.00189784024686
"b2.p[17]",9.98451,10.85955,11.7132,10.877312314,0.440367309187833,NA,0.0130593308760513,3,1137,0.350264838501626,1.00091261214609
"b2.p[18]",9.88732,10.7473,11.6413,10.7548965576667,0.443917753909124,NA,0.0137610474468637,3.1,1041,0.351566511378402,1.00224319387954
"b2.p[19]",9.94493,10.74465,11.6124,10.7489361076667,0.422979435842947,NA,0.011951586300214,2.8,1253,0.310109351848625,1.00088212205344
"b2.p[20]",9.89782,10.71665,11.5528,10.7222378913333,0.418184945182487,NA,0.012464370079224,3,1126,0.315266656928734,1.00100267076174
"b2.p[21]",9.83736,10.68605,11.5746,10.683885599,0.438726134364883,NA,0.0125666602817201,2.9,1219,0.31838154274915,1.00138113013721
"b2.p[22]",9.84965,10.7232,11.6158,10.7268463266667,0.446431757668622,NA,0.0134055993731643,3,1109,0.318907931544032,1.00138353949527
"b2.p[23]",9.87989,10.7358,11.6233,10.7367535676667,0.442575790436099,NA,0.0129679382117953,2.9,1165,0.314989174817824,1.0020338208634
"b2.p[24]",9.9628,10.8083,11.7408,10.8220035566667,0.451083334011404,NA,0.0129999460623702,2.9,1204,0.342716556132738,1.00111469209771
"b2.p[25]",9.81207,10.71665,11.6229,10.7173858243333,0.457617172134418,NA,0.0134717442825392,2.9,1154,0.357791574802063,1.00143950508034
"b2.p[26]",9.91974,10.7706,11.6549,10.7822758916667,0.442568890839211,NA,0.0134402387477544,3,1084,0.34220447888583,1.00163295686546
"b2.p[27]",9.85395,10.72335,11.6744,10.7265190003333,0.456886794556571,NA,0.0135545158326405,3,1136,0.344128623008968,1.00198554026038
"b2.p[28]",9.81168,10.6972,11.6052,10.6966673706667,0.453101658968653,NA,0.0133701257107371,3,1148,0.331580663492112,1.00071418435808
