"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",13.7352,14.3251,14.8877,14.32153677,0.295427686318601,NA,0.013059866364652,4.4,512,0.689639131288489,1.0006678817912
"ndt.mu",0.274717,0.305339,0.33568,0.305423412933333,0.0156068711104996,NA,9.21947194301864e-05,0.6,28656,0.00283094280695323,1.00013526436636
"alpha.mu",0.403467,0.442819,0.4845,0.442756171166667,0.0206179618264576,NA,0.000149312776612047,0.7,19068,0.0159735318064959,1.00011471848546
"bias.mu",0.463418,0.499687,0.533139,0.499628024166667,0.0177091563246467,NA,0.000121331958710398,0.7,21303,0.0196494520991839,1.00014676076653
"thetaGaze.mu",0.144472,0.1937935,0.245149,0.194200572173333,0.0254644131721628,NA,0.000572609013036955,2.2,1978,0.184966571848678,1.00006944551441
"thetaGaze[1]",0.124714,0.195337,0.265823,0.194905510676667,0.0360010497711108,NA,0.000369040302972017,1,9517,-0.00191295749984209,1.000028481787
"thetaGaze[2]",0.115669,0.205544,0.294059,0.204969798796667,0.0456321954989097,NA,0.00116664586346701,2.6,1530,0.387266264411425,1.00014808412433
"thetaGaze[3]",0.171844,0.2405975,0.308155,0.24003492047,0.0346633174818572,NA,0.000484149524167803,1.4,5126,0.0484572727796871,0.999966105905936
"thetaGaze[4]",0.0813233,0.1748145,0.264672,0.173845915856667,0.0473176525730728,NA,0.00116973692626516,2.5,1636,0.339630287489726,1.00310653990012
"thetaGaze[5]",0.0734648,0.1495775,0.22372,0.148679075543333,0.0383225731144544,NA,0.000654470252811263,1.7,3429,0.117882960339789,1.00003842389744
"thetaGaze[6]",0.0289176,0.1107905,0.189879,0.111447401666667,0.041526402548079,NA,0.000860335133012611,2.1,2330,0.240827240970741,1.00020886484349
"thetaGaze[7]",0.0177197,0.1079895,0.201261,0.110993086963333,0.0485002504652128,NA,0.00142612051434947,2.9,1157,0.473493637700843,1.00243617145344
"thetaGaze[8]",0.0979985,0.184451,0.273349,0.183761206656667,0.0446087827860544,NA,0.00110544215611817,2.5,1628,0.339905744423275,1.00023868080355
"thetaGaze[9]",0.0716608,0.168737,0.262402,0.16831054367,0.0482755207405204,NA,0.00131738900657265,2.7,1343,0.41236402942101,1.00140126027484
"thetaGaze[10]",0.0603829,0.17467,0.281706,0.174473281596667,0.0569023348970052,NA,0.00166152965327034,2.9,1173,0.46023435139078,1.00073785168179
"thetaGaze[11]",0.112438,0.1935805,0.271927,0.192814208393333,0.0406124346016606,NA,0.000885671511390835,2.2,2103,0.263528961069158,1.00190126254215
"thetaGaze[12]",0.0424368,0.130523,0.214185,0.130353117393333,0.0440741199983444,NA,0.00109716852571238,2.5,1614,0.353059596247445,1.00046409012831
"thetaGaze[13]",0.139194,0.241008,0.338469,0.240040272103333,0.0508663188970024,NA,0.00158042423606757,3.1,1036,0.507143905747371,1.00092972978988
"thetaGaze[14]",0.0481286,0.137127,0.225789,0.13734489045,0.0459327019489184,NA,0.0011488205363275,2.5,1599,0.348416413058246,1.00359650856035
"thetaGaze[15]",0.130664,0.2017595,0.271006,0.201079336703333,0.0358614589618043,NA,0.000614503656910472,1.7,3406,0.1183040514445,1.00038059615851
"thetaGaze[16]",0.150862,0.2245125,0.301197,0.22395985994,0.0385367451831786,NA,0.000447451783824428,1.2,7418,0.00579545095661793,1.00032978251833
"thetaGaze[17]",0.118098,0.188548,0.259537,0.188552229336667,0.0360081502588248,NA,0.000490397669946707,1.4,5391,0.0554977676375888,1.00035467440779
"thetaGaze[18]",0.0512529,0.148703,0.236665,0.147963438486667,0.0476243560486315,NA,0.00120680518404374,2.5,1557,0.366481448624034,1.00047660637489
"thetaGaze[19]",0.11729,0.185962,0.257158,0.1859515224,0.0357154520800904,NA,0.000487943902401118,1.4,5358,0.0210709069556991,1.00061081604358
