"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",10.3078,10.835,11.3653,10.835296772,0.269900517733113,NA,0.00721993513382645,2.7,1397,0.389913170516591,1.0013861284967
"ndt.mu",0.297049,0.3421255,0.384928,0.341969905566667,0.0224600365675527,NA,0.00014405413880011,0.6,24309,0.0140762733918254,1.00000929245204
"alpha.mu",0.392375,0.4332245,0.476071,0.433219798566667,0.0214302956488389,NA,0.000167322428810103,0.8,16404,0.024197725007905,1.00013783965797
"bias.mu",0.471583,0.5113665,0.55027,0.511464072766667,0.0200059712880474,NA,0.000165576135711556,0.8,14599,0.0250080263453621,1.00049087515346
"thetaGaze.mu",0.729159,0.7718715,0.81432,0.7710328385,0.0217661439472015,NA,0.000137425528884976,0.6,25086,-0.00469028030186922,1.00001370724106
"thetaGaze[1]",0.684451,0.772987,0.864675,0.7729760151,0.0459201634807268,NA,0.000531320216998307,1.2,7470,0.0149315968377999,1.00022082166042
"thetaGaze[2]",0.675938,0.7522215,0.824285,0.7514766225,0.037931719944741,NA,0.00043740287553299,1.2,7520,0.0147443842529548,1.00039672342061
"thetaGaze[3]",0.781893,0.8362285,0.889062,0.836026657533333,0.0272341843132503,NA,0.000215891496802017,0.8,15913,-0.00211492614453474,1.0000972472309
"thetaGaze[4]",0.714146,0.79029,0.860878,0.789624671433333,0.0374618757318654,NA,0.000357737712418635,1,10966,0.0109802193458573,1.00007050786773
"thetaGaze[5]",0.789547,0.8431515,0.895117,0.8426596253,0.027050267116988,NA,0.000210112018075155,0.8,16575,0.00255223804399052,1.00020776035707
"thetaGaze[6]",0.739926,0.7920025,0.843831,0.791586209133333,0.0265427711018786,NA,0.000222853246572689,0.8,14186,0.00153224284056112,1.00007804641118
"thetaGaze[7]",0.702075,0.758334,0.811568,0.7574936246,0.0281392971438414,NA,0.000262845584157143,0.9,11461,0.0118651103255486,1.00001004151868
"thetaGaze[8]",0.722021,0.7924465,0.861742,0.792083489,0.0356518336969102,NA,0.000342064813913391,1,10863,-0.0111360059624233,0.999984547304137
"thetaGaze[9]",0.755635,0.813445,0.870691,0.813053349033333,0.0292973064083219,NA,0.000222036756727626,0.8,17410,0.0139181545480839,1.00016306743075
"thetaGaze[10]",0.706283,0.794925,0.879511,0.794482050366667,0.0441664966802439,NA,0.000352026361295901,0.8,15741,0.00989726540179529,1.00004422746062
"thetaGaze[11]",0.766501,0.8178915,0.868893,0.8177868238,0.0261341715127744,NA,0.000202365802616567,0.8,16678,-0.0029053804562872,1.00008880748873
"thetaGaze[12]",0.721404,0.773222,0.821351,0.772862784366667,0.0254654157025857,NA,0.000210409820360088,0.8,14648,0.00737719523382661,1.00000643822575
"thetaGaze[13]",0.679201,0.7440895,0.803975,0.7428992929,0.0319474620445257,NA,0.000380415842707738,1.2,7053,0.0097146057039404,1.0003341111955
"thetaGaze[14]",0.705646,0.7640185,0.818741,0.763274193466667,0.0289575100619351,NA,0.000275011394637444,0.9,11087,0.00722173143959476,1.00021881891613
"thetaGaze[15]",0.741094,0.7943835,0.846631,0.794060382033333,0.026821056113459,NA,0.000226479767190038,0.8,14025,0.00794694866990282,1.00023435193529
"thetaGaze[16]",0.703797,0.7876895,0.872351,0.7873784658,0.0428178074534486,NA,0.0004882551107872,1.1,7691,0.000992805926168716,1.00072784012492
"thetaGaze[17]",0.7304,0.7913865,0.854991,0.791096095633333,0.0316754418744346,NA,0.000317603810176552,1,9947,-0.0129500540702567,1.00009096882444
"thetaGaze[18]",0.718095,0.786213,0.84945,0.7853102721,0.0335668041112804,NA,0.000297186899864555,0.9,12757,0.0149912284106343,1.00007550691647
"thetaGaze[19]",0.755064,0.8388255,0.926395,0.838309485466667,0.0436972404519533,NA,0.00053824248292672,1.2,6591,0.0120394111382727,1.00016777919712
"thetaGaze[20]",0.752135,0.823033,0.895451,0.823317538766667,0.0366890256572982,NA,0.000470921002534889,1.3,6070,0.0292710720998917,1.00011465306367
"thetaGaze[21]",0.736049,0.8068445,0.875825,0.8062003274,0.0357679335094634,NA,0.000382633575773743,1.1,8738,0.00907495164619031,1.00016498019647
"thetaGaze[22]",0.742656,0.795315,0.849001,0.795241451033333,0.0270242607393138,NA,0.000182123616204433,0.7,22018,-0.00752413138135619,1.00015648612187
"thetaGaze[23]",0.731893,0.7895985,0.847294,0.789483045566667,0.0294331659876093,NA,0.000262169936497611,0.9,12604,-0.00514827628320117,1.00021283655048
"thetaGaze[24]",0.701938,0.7591995,0.816775,0.758730422633333,0.0294726078876314,NA,0.000203903818427267,0.7,20892,0.00530849170145719,1.00010297870082
"thetaGaze[25]",0.692299,0.7566465,0.818611,0.7561005921,0.0324000073874581,NA,0.000335956748825079,1,9301,-0.00205593762789706,1.00006360439161
"thetaGaze[26]",0.747304,0.8061495,0.86173,0.805719388633333,0.0291047420228985,NA,0.000259649355108257,0.9,12565,0.00168064501639228,1.0001609772618
"thetaGaze[27]",0.646212,0.732791,0.815683,0.7314570935,0.0433608328944575,NA,0.00036943698498383,0.9,13776,0.00946243413516839,1.00026775014328
"thetaGaze[28]",0.737577,0.797337,0.854741,0.7971947956,0.0300957825114969,NA,0.000274229565514334,0.9,12044,0.0117842014390095,0.999969508144084
"thetaGaze[29]",0.7565,0.818391,0.878427,0.817955747833333,0.0311270422858693,NA,0.000243067346771628,0.8,16399,0.0112761778981279,1.00027099012798
"thetaGaze[30]",0.768622,0.830665,0.892809,0.830093069666667,0.031642518769996,NA,0.000314171863170865,1,10144,0.00607188607475565,1.00016060714673
"b2.p[1]",9.9623,10.7858,11.6059,10.7749762833333,0.414916830679474,NA,0.0084744636978556,2,2397,0.216512766536413,1.00059810669534
"b2.p[2]",10.0187,10.8442,11.6323,10.8503071213333,0.410230848214865,NA,0.00696600680724246,1.7,3468,0.15537743065916,1.00084139521364
"b2.p[3]",10.1004,10.9009,11.7141,10.9100270216667,0.406997893506994,NA,0.00719228426358257,1.8,3202,0.170562467399441,1.00070719528324
"b2.p[4]",10.0236,10.8132,11.6425,10.8137081363333,0.407406063245041,NA,0.00706480827663035,1.7,3325,0.155895107356864,1.00036896853397
