"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",14.6394,15.3832,16.1768,15.38700981,0.392964300700227,NA,0.0216627319702099,5.5,329,0.782755090097518,1.0161964490133
"ndt.mu",0.279807,0.3108545,0.341454,0.3108001534,0.0156857838567531,NA,9.37762001036616e-05,0.6,27979,0.000739826139015576,1.00003949366106
"alpha.mu",0.622244,0.667512,0.7131,0.6674069079,0.0232360743973316,NA,0.000210248358506135,0.9,12214,0.039823862380551,1.00004495860322
"bias.mu",0.47212,0.507779,0.543776,0.5078621656,0.018221895430383,NA,0.000158745886111341,0.9,13176,0.0214931687049743,1.00033003936099
"thetaGaze.mu",0.166039,0.2222375,0.278357,0.222713035053333,0.0285887257113607,NA,0.000775521960197202,2.7,1359,0.232135291110132,1.00208877482347
"thetaGaze[1]",0.106829,0.1954155,0.284386,0.19565504438,0.0450150704839067,NA,0.000591521456337201,1.3,5791,0.0220070130352588,1.00136099214999
"thetaGaze[2]",0.0546267,0.170798,0.27368,0.169719402896667,0.0565613641107179,NA,0.00184767955539191,3.3,937,0.543421180736959,1.00369599307515
"thetaGaze[3]",0.0225603,0.112219,0.200771,0.114197652416667,0.0465969305377718,NA,0.000942694805645996,2,2443,0.197372876564994,1.00055464410275
"thetaGaze[4]",0.161333,0.265989,0.368124,0.26446229162,0.0528338252098376,NA,0.00142848314817466,2.7,1368,0.416700156584611,1.00232171996308
"thetaGaze[5]",0.0851023,0.1844605,0.277061,0.183497314843333,0.0494273643096801,NA,0.00108746606030477,2.2,2066,0.259680080168186,1.00089827797484
"thetaGaze[6]",0.200655,0.2881435,0.372571,0.2870969402,0.0443070490805152,NA,0.0010203939813809,2.3,1885,0.30200206211201,1.00197412841432
"thetaGaze[7]",0.116648,0.239544,0.362304,0.238171526796667,0.0623579986830573,NA,0.00233915288707309,3.8,711,0.621489746677027,1.00146573140242
"thetaGaze[8]",0.121347,0.2253725,0.327441,0.22408492227,0.0528162741428028,NA,0.00153013779289407,2.9,1191,0.45083430271826,1.00314740767944
"thetaGaze[9]",0.0843292,0.2129695,0.334122,0.21358561968,0.0636050656028025,NA,0.00240042320792623,3.8,702,0.633834374234018,1.00179012417929
"thetaGaze[10]",0.0386436,0.165162,0.284144,0.165747080563333,0.0634007411790537,NA,0.00215729498655731,3.4,864,0.563492361085508,1.00136828509555
"thetaGaze[11]",0.092987,0.1902465,0.28023,0.189158078446667,0.0480044933001865,NA,0.00126345780091582,2.6,1444,0.390082144045932,1.00073236352085
"thetaGaze[12]",0.0645091,0.1735265,0.275784,0.17238734049,0.053869966450152,NA,0.00160040683879501,3,1133,0.473257185904803,1.00447895103315
"thetaGaze[13]",0.159688,0.27902,0.397801,0.277514036493333,0.061178628464632,NA,0.00223929156669548,3.7,746,0.616972413202568,1.00025561251806
"thetaGaze[14]",0.0396759,0.162904,0.275398,0.162799731186667,0.0612195495935326,NA,0.0020794619489878,3.4,867,0.558937092872326,1.00179153397183
"thetaGaze[15]",0.069623,0.1650155,0.25575,0.16452896601,0.0474935580683857,NA,0.001067829670456,2.2,1978,0.272652566934087,1.00223485617784
"thetaGaze[16]",0.0903237,0.198405,0.301347,0.19823834043,0.0538013004781063,NA,0.000913267947787296,1.7,3470,0.122009029736438,1.00028325718968
"thetaGaze[17]",0.0937106,0.178539,0.264625,0.178594350163333,0.0437607675958039,NA,0.000783402241549675,1.8,3120,0.137413268499401,1.00073923040037
"thetaGaze[18]",0.138068,0.252066,0.353415,0.250489137893333,0.0555596115111775,NA,0.00167999005636738,3,1094,0.486838283567012,1.00251513729026
"thetaGaze[19]",0.110798,0.1989415,0.285611,0.198872334053333,0.0445479463213031,NA,0.000725606355080239,1.6,3769,0.0828831392034573,1.00073982461466
"thetaGaze[20]",0.174255,0.2201175,0.265463,0.219996684566667,0.0232130821573549,NA,0.000244497198642252,1.1,9014,0.00249328270001096,1.00023666972444
"thetaGaze[21]",0.0827708,0.189425,0.295061,0.18932186649,0.0543953425611615,NA,0.00131432181722645,2.4,1713,0.329317973762788,1.0033382703926
