"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",14.4693,15.03935,15.6281,15.0392269533333,0.297769825654795,NA,0.00960974588043489,3.2,960,0.521167937233942,1.0011697228035
"ndt.mu",0.274204,0.306469,0.338426,0.306255893166667,0.0163431919854648,NA,0.000101391678610044,0.6,25982,0.0078719955111924,1.0001857307788
"alpha.mu",0.383831,0.423561,0.464316,0.423608639566667,0.0206029065961544,NA,0.000169305290369581,0.8,14809,0.0181620408940716,1.00053622874185
"bias.mu",0.479312,0.5169225,0.554087,0.516987603933333,0.0189826547371583,NA,0.000162818351742646,0.9,13593,0.0242301297011736,1.00019097476265
"thetaGaze.mu",0.538058,0.585628,0.63238,0.5853496153,0.0239714220087339,NA,0.000164371247323796,0.7,21268,0.0129199478522444,1.00011318011163
"thetaGaze[1]",0.518823,0.576823,0.636139,0.576529181466667,0.029917098005927,NA,0.000324524879579545,1.1,8499,-0.0023939961318322,1.00004980699763
"thetaGaze[2]",0.461129,0.537152,0.610034,0.536761245866667,0.0384080587191113,NA,0.000761992609357631,2,2541,0.17821162849202,1.00058508551142
"thetaGaze[3]",0.578873,0.6267465,0.675391,0.626645757666667,0.0246312416488447,NA,0.000231725896662301,0.9,11299,0.0030370096378895,1.00091764020047
"thetaGaze[4]",0.564655,0.613849,0.663927,0.613663449266667,0.0252894531209488,NA,0.000259804485003292,1,9475,0.00612056601212381,1.00044329380351
"thetaGaze[5]",0.529604,0.579686,0.62953,0.5794720741,0.0256036955086774,NA,0.000265439772978483,1,9304,0.0100207250641866,1.00006604818315
"thetaGaze[6]",0.530105,0.5785965,0.624455,0.5780975768,0.0240777417375414,NA,0.000282470751502582,1.2,7266,0.0129684327510631,1.00043187457404
"thetaGaze[7]",0.536844,0.598562,0.660556,0.5977369179,0.0315881107527921,NA,0.000609986562306243,1.9,2682,0.183873873661428,1.0002029468128
"thetaGaze[8]",0.540379,0.5992285,0.657469,0.598686201433333,0.0298753574039306,NA,0.000411560784076501,1.4,5269,0.0371468784265349,1.00008490574604
"thetaGaze[9]",0.552069,0.614796,0.672576,0.613688137666667,0.0308664142130881,NA,0.000539025042435766,1.7,3279,0.107201486309881,1.00102808786635
"thetaGaze[10]",0.490601,0.5590715,0.625507,0.558325414566667,0.0344021195854136,NA,0.000479175774659976,1.4,5154,0.0626927586717529,1.00013981508854
"thetaGaze[11]",0.549788,0.5988165,0.645558,0.5984274425,0.0243762175970016,NA,0.000274550691037249,1.1,7883,-0.00333949975626899,1.0001030000253
"thetaGaze[12]",0.561859,0.597402,0.630433,0.5970940449,0.0176011375475616,NA,0.000173116672009708,1,10337,-0.00241162250690139,1.00000220627002
"thetaGaze[13]",0.517913,0.5893255,0.654986,0.588243588833333,0.0348764190086015,NA,0.000776071661954434,2.2,2020,0.266042651552135,1.00362599825997
"thetaGaze[14]",0.56847,0.6240835,0.675278,0.623340083733333,0.027309079803092,NA,0.000387597699819677,1.4,4964,0.0473260217427229,1.00033906016489
"thetaGaze[15]",0.552159,0.590066,0.626541,0.589938292633333,0.0190112651507403,NA,0.000168980662971531,0.9,12658,-0.00356731772496696,1.00014795238663
"thetaGaze[16]",0.553848,0.6165165,0.676517,0.616370773766667,0.0312287930360461,NA,0.000347913883196862,1.1,8057,-0.00901845741405095,1.00012927067206
"thetaGaze[17]",0.602024,0.6546745,0.706591,0.654210223166667,0.0267385620739914,NA,0.000312223727471566,1.2,7334,0.0125535397240225,1.00017479895666
"thetaGaze[18]",0.491141,0.549042,0.604174,0.548628460066667,0.0288432832717694,NA,0.000373758832232093,1.3,5955,0.0340740090072321,1.00039205811958
"thetaGaze[19]",0.516999,0.5723285,0.627537,0.5725547348,0.0281952109678503,NA,0.000339170458649538,1.2,6911,0.0348070124122724,1.00066970950529
"thetaGaze[20]",0.540148,0.5898675,0.640985,0.5897203149,0.0257082483774208,NA,0.000349818975598497,1.4,5401,0.0436158351256652,1.00016350590463
"thetaGaze[21]",0.506937,0.571031,0.640274,0.5706927674,0.0341762492089038,NA,0.000440038250003109,1.3,6032,0.0349460427906497,1.00077919294914
"thetaGaze[22]",0.502165,0.556965,0.606221,0.5564509203,0.0264999394016343,NA,0.000300525104286416,1.1,7775,0.0216058874002248,1.00028043226957
"thetaGaze[23]",0.560042,0.6016645,0.640842,0.6015822233,0.020600473806917,NA,0.000193210670478024,0.9,11368,0.00169795948173794,1.00002059296525
"thetaGaze[24]",0.518982,0.5819815,0.642492,0.581081648966667,0.0314250750916423,NA,0.000553489351716461,1.8,3224,0.127569564724083,1.00031962540543
"thetaGaze[25]",0.519385,0.5747365,0.626806,0.574033253533333,0.0275782582206117,NA,0.000435281099338912,1.6,4014,0.0693006527526368,1.0004506634818
"thetaGaze[26]",0.578874,0.6201125,0.660204,0.619636102633333,0.0206500232193864,NA,0.000240042885915419,1.2,7401,0.027418268753982,1.0004217117221
"thetaGaze[27]",0.538718,0.603923,0.670074,0.602986721033333,0.0335089564358176,NA,0.000595653899024854,1.8,3165,0.129868794532676,1.00063902600583
"thetaGaze[28]",0.554368,0.606775,0.656567,0.6063662658,0.026059906982285,NA,0.0002975460731402,1.1,7671,0.0168160043681872,1.00074965571872
"thetaGaze[29]",0.553764,0.604539,0.653196,0.604022901966667,0.0254456709249029,NA,0.000372698123721232,1.5,4661,0.0570143118426589,1.00254079876115
"thetaGaze[30]",0.541515,0.5787015,0.61364,0.5786817033,0.0184822778206309,NA,0.000148139706480723,0.8,15566,0.0101195855930295,1.00025371007535
"b2.p[1]",14.1689,15.0647,15.9227,15.0720787933333,0.442856768843157,NA,0.0103985540154457,2.3,1814,0.271217607510993,1.00137941584225
"b2.p[2]",14.1752,15.0078,15.9338,15.0048045033333,0.445602428887988,NA,0.00947162316579611,2.1,2213,0.217318346918726,1.00136672321256
"b2.p[3]",14.1259,15.0198,15.8691,15.0185150066667,0.441630599732047,NA,0.00985547364852617,2.2,2008,0.251850287242046,1.00040665931443
"b2.p[4]",14.0988,14.9824,15.8539,14.9767371466667,0.443082615773031,NA,0.00917589719155451,2.1,2332,0.223641760402952,1.0009083647323
"b2.p[5]",14.2485,15.0943,15.9758,15.10667852,0.440253406999524,NA,0.00955368567780935,2.2,2124,0.239410526993255,1.00041393112063
"b2.p[6]",14.1628,15.0529,15.8871,15.0546668333333,0.434997908352804,NA,0.00947047980700629,2.2,2110,0.235942513271558,1.00018491886023
"b2.p[7]",14.1335,15.029,15.9512,15.0285076266667,0.460349333289539,NA,0.00970166619428543,2.1,2252,0.222762116307535,1.00118055010961
"b2.p[8]",14.1516,15.0311,15.8993,15.0325332933333,0.437744191532141,NA,0.0095401821341212,2.2,2105,0.235224014835036,1.00049883445765
"b2.p[9]",14.2169,15.084,16.012,15.09371213,0.455653357018895,NA,0.00998338809269605,2.2,2083,0.225233990897706,1.00043631929188
"b2.p[10]",14.1306,15.03635,15.9464,15.04055597,0.457313106094274,NA,0.0095572738256846,2.1,2290,0.222097031636822,1.00043130909303
"b2.p[11]",14.2044,15.0261,15.9038,15.0275434133333,0.427247996137633,NA,0.00873681282364768,2,2391,0.215591656951266,1.00057573967243
"b2.p[12]",14.3061,15.1157,15.971,15.12831446,0.424102680362934,NA,0.00909251993409781,2.1,2176,0.221986086314874,1.00065756249197
