"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",6.33659,6.67737,7.06392,6.683525789,0.185240536641771,NA,0.00489918035722389,2.6,1430,0.388765216253236,1.00054698687131
"ndt.mu",0.295936,0.330313,0.364817,0.3301688836,0.0175282140010324,NA,0.000114418274640849,0.7,23468,0.00773797548171756,1.00006431948491
"alpha.mu",0.584975,0.625819,0.667737,0.625829188566667,0.02105419096476,NA,0.000152757702481486,0.7,18996,0.0119165603382303,1.00005438209924
"bias.mu",0.466638,0.5048285,0.541426,0.504737635033333,0.0190305217390369,NA,0.000117083749099409,0.6,26418,0.0146088667154477,1.00010371953414
"thetaGaze.mu",0.0156633,0.0926112,0.173754,0.09475811214,0.0434369193652725,NA,0.000698462595224831,1.6,3868,0.132382261412552,1.00005351228638
"thetaGaze[1]",0.0102522,0.177324,0.346352,0.180282286976667,0.0963199240655432,NA,0.00109470812058866,1.1,7742,0.00971044440754443,1.00003329895542
"thetaGaze[2]",0.0100007,0.0397206,0.136948,0.0526041820533333,0.0411749612098763,NA,0.000501107681939295,1.2,6752,0.0322091496080905,1.00001419737156
"thetaGaze[3]",0.0100036,0.08108705,0.215856,0.0934792561466667,0.0644614389215116,NA,0.000718973669461623,1.1,8038,0.00911495316623136,1.00051691406122
"thetaGaze[4]",0.010004,0.07682185,0.221272,0.09193068424,0.0671963645676863,NA,0.000930200006056025,1.4,5218,0.0473002431169713,1.00044798799876
"thetaGaze[5]",0.0100002,0.0515155,0.157584,0.06387079133,0.0468180471691439,NA,0.000472244925582778,1,9829,0.0065033265749856,1.00007053255614
"thetaGaze[6]",0.0100001,0.0852642,0.238219,0.100221976623333,0.071869895062142,NA,0.00115697944792388,1.6,3859,0.0862295919382571,1.00026583313779
"thetaGaze[7]",0.0100032,0.06427205,0.200861,0.0803500951133333,0.0606866162843388,NA,0.00110277796412398,1.8,3028,0.134377532605112,1.00006407751677
"thetaGaze[8]",0.0100022,0.0738734,0.219925,0.0896836093666667,0.0663941247029652,NA,0.000985423290544474,1.5,4540,0.0531369104651854,1.0001633135058
