"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",13.9201,14.3476,14.7972,14.34743816,0.2251409502217,NA,0.0064092510264848,2.8,1234,0.43198267267093,1.00123932935861
"ndt.mu",0.272643,0.3034445,0.334114,0.3034736505,0.0156172749047713,NA,9.14145132082731e-05,0.6,29186,0.0141500177409167,1.00011559065076
"alpha.mu",0.224758,0.2635855,0.301389,0.263363235633333,0.0194824570884129,NA,0.000125855747520628,0.6,23963,0.00839692907080269,1.00002195454271
"bias.mu",0.474248,0.50916,0.542474,0.509159654266667,0.0174108200930325,NA,0.000110579362111313,0.6,24791,0.00508967620762732,1.00007010987103
"thetaGaze.mu",0.350887,0.3959365,0.443909,0.396238866733333,0.0235739904471806,NA,0.000184101158726765,0.8,16397,0.0154074899718009,0.999994723657437
"thetaGaze[1]",0.362356,0.4025615,0.441721,0.402546570633333,0.0202438239087471,NA,0.000144513535070886,0.7,19623,-0.00143802727001268,1.00017390612783
"thetaGaze[2]",0.363119,0.411066,0.456403,0.4103656379,0.0239303016307036,NA,0.000343613791411658,1.4,4850,0.0633799867465817,1.00017509942486
"thetaGaze[3]",0.349465,0.395959,0.442157,0.395744573966667,0.0235175048973642,NA,0.000204339305148243,0.9,13246,0.00649823782333638,0.999998316942192
"thetaGaze[4]",0.332628,0.3887345,0.44144,0.3884543364,0.0277052919946687,NA,0.000358138056559056,1.3,5984,0.0200665768625211,1.00021471794765
"thetaGaze[5]",0.348818,0.389191,0.425707,0.3889173028,0.0197222798130138,NA,0.000187227421958026,0.9,11096,0.0270998125408865,1.00049515270126
"thetaGaze[6]",0.357515,0.4022035,0.444212,0.401790603966667,0.0220445836252014,NA,0.000249624437877267,1.1,7799,0.0148184922673071,1.00029056085851
"thetaGaze[7]",0.32034,0.3912145,0.455544,0.390410804833333,0.0343939798317559,NA,0.000679084528881036,2,2565,0.19197576310886,1.00033633678197
"thetaGaze[8]",0.325753,0.384278,0.436846,0.3834169462,0.0282883935558874,NA,0.000436471286301602,1.5,4201,0.0723413988107296,1.00071862215742
"thetaGaze[9]",0.274032,0.349675,0.427285,0.3489806177,0.0391241483448633,NA,0.000878967538421525,2.2,1981,0.266657808576119,1.00173245815605
"thetaGaze[10]",0.257926,0.3330675,0.41021,0.332637823133333,0.0388977655253711,NA,0.00073623152623845,1.9,2791,0.186560415645292,1.00058921950152
"thetaGaze[11]",0.330134,0.3727585,0.413608,0.372356028266667,0.0213463550329568,NA,0.000250679807168719,1.2,7251,0.0170740281602441,1.00015612032059
"thetaGaze[12]",0.329803,0.382365,0.430679,0.381416600466667,0.0258083004116875,NA,0.000397992064449733,1.5,4205,0.0660072778899889,1.00125645433983
"thetaGaze[13]",0.320299,0.389006,0.457356,0.388302041333333,0.0349506580449975,NA,0.000748623989431147,2.1,2180,0.257481687380598,1.00265475395021
"thetaGaze[14]",0.337077,0.3958895,0.453569,0.3954446535,0.0296966549017031,NA,0.000482169112031222,1.6,3793,0.0819013966396299,1.00078565274681
"thetaGaze[15]",0.397975,0.432988,0.4663,0.433014568133333,0.0173498258631167,NA,0.000149738038749476,0.9,13425,0.00897252484205689,1.00012919769199
"thetaGaze[16]",0.345891,0.4059095,0.466426,0.4058535113,0.0307268848425904,NA,0.000272362949776056,0.9,12727,0.00132452423246707,1.00009220269857
"thetaGaze[17]",0.353825,0.3985945,0.443101,0.3983329991,0.0228268977430542,NA,0.000240926450761768,1.1,8977,0.00442383169411892,0.999969025094182
"thetaGaze[18]",0.327245,0.386527,0.443688,0.385654095666667,0.0296456866668297,NA,0.000481062293145212,1.6,3798,0.0769355833024813,1.00031941924272
"thetaGaze[19]",0.342344,0.3774315,0.41541,0.377624363233333,0.0185542691233667,NA,0.000145045599933083,0.8,16364,-0.00434369709742259,1.00048716245955
"thetaGaze[20]",0.352314,0.377329,0.40418,0.3774258862,0.0132373122580496,NA,9.82128163582939e-05,0.7,18166,-0.00302051929072149,1.00008019891178
