"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",10.7977,11.2792,11.7714,11.2800685133333,0.248101394862385,NA,0.00643507734736258,2.6,1486,0.377737031900711,1.00353449068879
"ndt.mu",0.306161,0.348192,0.389876,0.348232336333333,0.0212952470851665,NA,0.000146416429370609,0.7,21154,0.0155234616980322,1.00017682507206
"alpha.mu",0.213086,0.2611425,0.307166,0.259920350346667,0.0241374624774259,NA,0.000222341750266059,0.9,11785,0.0274962565142888,1.00035317691885
"bias.mu",0.480976,0.520346,0.559765,0.520302090133333,0.02007513499079,NA,0.000176028941746708,0.9,13006,0.0348654749758843,1.00040688554428
"thetaGaze.mu",0.727876,0.770495,0.809971,0.769526781,0.0209322457249784,NA,0.000124265457258507,0.6,28375,0.0037030927041257,1.00005398334483
"thetaGaze[1]",0.791768,0.8437705,0.895477,0.8437151311,0.0264475881036916,NA,0.000201474408692676,0.8,17232,-0.00819641410624118,1.00015309537871
"thetaGaze[2]",0.736691,0.791502,0.843439,0.790687243633333,0.0272573376836232,NA,0.00027677183614419,1,9699,0.0125703479714479,1.00040855996035
"thetaGaze[3]",0.701675,0.745738,0.789871,0.745609641033333,0.0224544058264552,NA,0.000160445724927608,0.7,19586,-0.00157660325793761,1.00010459848702
"thetaGaze[4]",0.756497,0.8056415,0.850599,0.805400642833333,0.0237577245043695,NA,0.000174463846180736,0.7,18544,-0.0105595305715177,1.00006144633023
"thetaGaze[5]",0.745824,0.785579,0.826348,0.7853966761,0.0206126120226671,NA,0.000142051707169885,0.7,21056,-0.00289620202330162,1.00009974527378
"thetaGaze[6]",0.756079,0.7971365,0.835501,0.797093395766667,0.020153793949139,NA,0.000136778202076105,0.7,21711,0.0182420252754575,1.00005435903603
"thetaGaze[7]",0.734873,0.776411,0.817584,0.775690853133333,0.0211807844061207,NA,0.000187588563562859,0.9,12749,0.0230056297778609,1.00021461034072
"thetaGaze[8]",0.813096,0.854695,0.894241,0.8544395722,0.0206415893231225,NA,0.00013635376713062,0.7,22917,0.00357269281851277,1.00001238533595
"thetaGaze[9]",0.69995,0.749275,0.797687,0.7488810125,0.0250611481939815,NA,0.000195847065770232,0.8,16374,0.00365395964640114,0.999990521981203
"thetaGaze[10]",0.654845,0.726149,0.796186,0.725205026566667,0.036119809111907,NA,0.000292980152760192,0.8,15199,0.0101169592835861,1.00000104452235
