"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",10.2055,10.7578,11.3506,10.765830221,0.292994683079207,NA,0.00978301624123842,3.3,897,0.531438199990706,1.00146734616317
"ndt.mu",0.288318,0.320622,0.354567,0.32054874,0.0169390410629726,NA,0.000110104476778259,0.7,23668,0.00634002862081655,1.00004374870333
"alpha.mu",0.592863,0.6364025,0.678284,0.636457845233333,0.0217184603949976,NA,0.000165773760081119,0.8,17164,0.0229478874887319,1.00006807527293
"bias.mu",0.475906,0.512625,0.551458,0.5126829865,0.0192113710096509,NA,0.000143091161176984,0.7,18026,0.01245765582555,0.999986779921687
"thetaGaze.mu",0.305453,0.361209,0.416551,0.361706420033333,0.028224010227889,NA,0.000411318760083703,1.5,4708,0.1013942384421,1.00034001067062
"thetaGaze[1]",0.224612,0.3199325,0.418165,0.319692919566667,0.0495148513343864,NA,0.000519307650479386,1,9091,0.0115499995767189,1.00036347222565
"thetaGaze[2]",0.234439,0.362323,0.477525,0.36014738251,0.0621821936782717,NA,0.00130669607621886,2.1,2265,0.22574038079054,1.0032520415437
"thetaGaze[3]",0.240856,0.3476985,0.453033,0.346956836433333,0.0541820361526285,NA,0.000661798547404268,1.2,6703,0.00174674436999903,1.00041192532762
"thetaGaze[4]",0.133862,0.246313,0.360437,0.24582403463,0.0579440817762086,NA,0.00107379901005607,1.9,2912,0.165099329077739,1.00032026913133
"thetaGaze[5]",0.282749,0.380296,0.47561,0.3795796287,0.0492662714568403,NA,0.000661330991120463,1.3,5550,0.0368515202604537,1.00028261224336
"thetaGaze[6]",0.231124,0.3472405,0.46679,0.345919103463333,0.0600806820289641,NA,0.0011271708512033,1.9,2841,0.158494213699417,1.00046189382318
"thetaGaze[7]",0.222935,0.3455335,0.465825,0.344047834236667,0.0620252178998989,NA,0.00154013231385106,2.5,1622,0.335519225190438,1.00217461893471
"thetaGaze[8]",0.24187,0.3614465,0.478264,0.360956056533333,0.0607049572737674,NA,0.00118995018178455,2,2603,0.183816766922852,1.00165074412736
"thetaGaze[9]",0.174291,0.311591,0.443613,0.309729059943333,0.0696991643980575,NA,0.00177203669056972,2.5,1547,0.364014510984128,1.00109663632111
"thetaGaze[10]",0.208293,0.342556,0.476274,0.341920217396667,0.0688847441786039,NA,0.00125636096617505,1.8,3006,0.140152669603765,1.00022759378768
"thetaGaze[11]",0.261327,0.3648775,0.463072,0.363944709833333,0.0514075095291693,NA,0.000931523887790698,1.8,3046,0.154257083794019,1.00023659795341
"thetaGaze[12]",0.28589,0.3750185,0.461435,0.373770997266667,0.0449685484263292,NA,0.000705866753991841,1.6,4059,0.0694185763397375,1.00005736790136
"thetaGaze[13]",0.288766,0.4040775,0.513859,0.401919944066667,0.058425760622034,NA,0.00144330831483528,2.5,1639,0.342205914383511,1.0016204150523
"thetaGaze[14]",0.208737,0.3247025,0.435781,0.32448878826,0.0579474454626544,NA,0.00115287863047139,2,2526,0.184587109025408,1.00135491794476
"thetaGaze[15]",0.271701,0.3703585,0.466841,0.369589610566667,0.0499370997282597,NA,0.00067813255432115,1.4,5423,0.033434607934433,1.00007463577317
"thetaGaze[16]",0.21877,0.33772,0.452063,0.337792073353333,0.0594778579290214,NA,0.000696204000284154,1.2,7299,0.0213530066115654,1.00029684813085
