"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",14.0793,14.7824,15.4851,14.78382694,0.356996689106175,NA,0.0115759749556415,3.2,951,0.518868533751593,1.0005883636363
"ndt.mu",0.282162,0.3174225,0.352694,0.317191938633333,0.0179321916955895,NA,0.00011438042035071,0.6,24579,0.00133538656860703,0.999965435428201
"alpha.mu",0.60548,0.645865,0.686984,0.645943923533333,0.0206689271847521,NA,0.00017138443218986,0.8,14544,0.0304364736340879,1.00027886932573
"bias.mu",0.48802,0.526515,0.564267,0.5263493032,0.0194531419774621,NA,0.000157047402978972,0.8,15343,0.0132637075519711,1.00019818433985
"thetaGaze.mu",0.717943,0.762872,0.804249,0.7621211104,0.0219078046045216,NA,0.000159700926388619,0.7,18818,-0.0055153260586186,1.00001650239846
"thetaGaze[1]",0.699699,0.790473,0.879519,0.789704012933333,0.0460221827367038,NA,0.000769725425716592,1.7,3575,0.0866419711044474,1.00085137225477
"thetaGaze[2]",0.696677,0.7609805,0.825688,0.7599099409,0.0329191855240161,NA,0.000496155894221809,1.5,4402,0.0526422014128545,1.00080824155698
"thetaGaze[3]",0.751451,0.8271225,0.899779,0.8264313749,0.0381172476175394,NA,0.0005571438742576,1.5,4681,0.0559792600798279,1.00028204548426
"thetaGaze[4]",0.723012,0.788921,0.854831,0.788213257133333,0.0337639010126486,NA,0.000449643236284655,1.3,5639,0.0169780526968371,1.00011107639316
"thetaGaze[5]",0.745333,0.80631,0.869864,0.8059587354,0.0317846509491618,NA,0.000383971655617418,1.2,6852,0.015051192658729,1.0004922843967
"thetaGaze[6]",0.744619,0.8109395,0.879052,0.8103463147,0.0343157089912834,NA,0.000439671505751577,1.3,6092,0.0199431351140214,1.00023810770453
"thetaGaze[7]",0.693819,0.757243,0.813096,0.756374549566667,0.0304813437866582,NA,0.000465562023090549,1.5,4287,0.0594400087196806,1.00125782216032
"thetaGaze[8]",0.755272,0.81605,0.87653,0.815582906633333,0.0309794363549093,NA,0.000407834545755686,1.3,5770,0.0304071142430892,1.00042092151299
"thetaGaze[9]",0.691441,0.758676,0.822018,0.7580781106,0.0335283531030901,NA,0.000451250845354635,1.3,5521,0.0497496821905988,1.00005544877357
"thetaGaze[10]",0.65259,0.732182,0.811318,0.731734540666667,0.0404761680851137,NA,0.000442553717869281,1.1,8365,0.0110801195730678,1.00082050068183
"thetaGaze[11]",0.707633,0.7593065,0.810027,0.758935320766667,0.0261386114504557,NA,0.000291569416864979,1.1,8037,0.000388521226902726,1.00010776755368
"thetaGaze[12]",0.75145,0.8014405,0.853285,0.801199657333333,0.0259184406112939,NA,0.000320367364338676,1.2,6545,-0.0092547184153263,1.00001811662242
"thetaGaze[13]",0.676113,0.740836,0.80154,0.740134481833333,0.0319509185963707,NA,0.000497978556385277,1.6,4117,0.0804053587794948,1.00016036388597
"thetaGaze[14]",0.676014,0.7409745,0.804853,0.740021782666667,0.0329192209218531,NA,0.000497680146606492,1.5,4375,0.065250849889396,1.00036912848197
"thetaGaze[15]",0.706,0.7656535,0.828729,0.765460410066667,0.0312740824131474,NA,0.000404991926865629,1.3,5963,0.0155152579643666,1.00025061613405
"thetaGaze[16]",0.741417,0.819891,0.897235,0.8197284749,0.0397544528818484,NA,0.000562941821510719,1.4,4987,0.0367357566322907,1.00016676713871
"thetaGaze[17]",0.740584,0.813859,0.885426,0.813527379866667,0.036947238309409,NA,0.00057959785276015,1.6,4064,0.0729878787622362,1.0000842641629
"thetaGaze[18]",0.662257,0.743801,0.822488,0.742900291733333,0.0409719268687948,NA,0.000593339724924271,1.4,4768,0.0320556417693391,1.00013622219283
"thetaGaze[19]",0.701345,0.790091,0.880207,0.790288272933333,0.0455345141330488,NA,0.000857705602094488,1.9,2818,0.148566778695927,1.00106903506347
"thetaGaze[20]",0.714066,0.786302,0.858621,0.786223481166667,0.0368437122037761,NA,0.000619586214589657,1.7,3536,0.0943958434213259,1.00021186486059
"thetaGaze[21]",0.749559,0.8199345,0.885417,0.819200510166667,0.0345943641698824,NA,0.000478100525336851,1.4,5236,0.0416373936523006,1.00043918243527
"thetaGaze[22]",0.6767,0.7446435,0.810665,0.744063118666667,0.034024165654554,NA,0.00033520350538275,1,10303,0.00521373417977856,1.00005081974475
"thetaGaze[23]",0.733383,0.7961425,0.855946,0.7961386807,0.0311190759021373,NA,0.000424276562908794,1.4,5380,0.0309482243431629,1.00049361104939
"thetaGaze[24]",0.705094,0.768423,0.829211,0.7679048969,0.031554159985607,NA,0.000346471234880832,1.1,8294,0.0164095568072203,1.00006046492376
"thetaGaze[25]",0.716745,0.782025,0.839121,0.781281275433333,0.0311701056645531,NA,0.000433990691892766,1.4,5158,0.0274703183401424,1.00087246715225
"thetaGaze[26]",0.7285,0.782126,0.8362,0.782015347966667,0.0274517551223899,NA,0.000327237459087861,1.2,7037,0.0210614837552687,1.00017164006167
"thetaGaze[27]",0.724907,0.7996725,0.869141,0.798529264666667,0.036862616970248,NA,0.000464285661315765,1.3,6304,0.0231008236444065,1.00045615737327
"thetaGaze[28]",0.74025,0.808309,0.870217,0.807588134766667,0.0330680364061984,NA,0.000443217295751586,1.3,5567,0.041987131726967,1.0000509904276
"thetaGaze[29]",0.70112,0.761083,0.817309,0.7607453952,0.0295177393471478,NA,0.000318099956926803,1.1,8611,0.00786845584891728,1.00030401546923
"thetaGaze[30]",0.726009,0.7965575,0.86364,0.796005743966667,0.0350956349908826,NA,0.000506075298919867,1.4,4809,0.0576032144143962,1.00088230595621
"b2.p[1]",13.8473,14.88795,15.8956,14.9124735866667,0.528383112545045,NA,0.0130941457895281,2.5,1628,0.326299218776214,1.00078866921035
"b2.p[2]",13.8399,14.84895,15.89,14.86388064,0.523362714259317,NA,0.0112880662156727,2.2,2150,0.239806448708212,1.000212767309
"b2.p[3]",13.7542,14.7684,15.7624,14.76920545,0.504088647212081,NA,0.0115941044518984,2.3,1890,0.275421052727524,1.00049240473892
"b2.p[4]",13.7306,14.7082,15.6906,14.7029545,0.498513998800418,NA,0.0107019476632118,2.1,2170,0.241315452931992,1.00012573313114
"b2.p[5]",13.7845,14.7502,15.7538,14.7488590066667,0.504123522103196,NA,0.0110518219610951,2.2,2081,0.255297414881129,1.00011536758369
"b2.p[6]",13.7206,14.7575,15.7458,14.7594053433333,0.511470201099408,NA,0.0113624639862299,2.2,2026,0.235274392974762,1.00008211006707
"b2.p[7]",13.7503,14.7741,15.8379,14.7810483033333,0.534113557246199,NA,0.0118355538239364,2.2,2037,0.229382021182383,1.00062351091747
"b2.p[8]",13.8462,14.84405,15.8699,14.8658951733333,0.516242309229653,NA,0.0113499331781597,2.2,2069,0.249640501828939,1.00076063401336
"b2.p[9]",13.7161,14.75005,15.804,14.7519830633333,0.528883387468417,NA,0.0116318991548589,2.2,2067,0.242117987759597,1.00023053866948
"b2.p[10]",13.7264,14.7806,15.8165,14.78286964,0.534484330339923,NA,0.0116659090566876,2.2,2099,0.230872202711783,1.00028309675259
