"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",6.65951,6.973755,7.28983,6.97388495766667,0.161059361293573,NA,0.00319037636930638,2,2549,0.199587108846141,1.00023042289579
"ndt.mu",0.287236,0.3251135,0.362362,0.325269697633333,0.019094182989651,NA,0.000131016248869867,0.7,21240,0.00781594875261291,1.00002946549422
"alpha.mu",0.20659,0.25779,0.305448,0.256465817216667,0.0254390467884263,NA,0.000199212254366195,0.8,16307,0.00932073560281466,1.00029900204653
"bias.mu",0.500741,0.5385125,0.577632,0.5385603129,0.0195621505494411,NA,0.000144953771719609,0.7,18213,0.0140844838928461,1.00013755417692
"thetaGaze.mu",0.357766,0.4082345,0.459929,0.408462299533333,0.0258995638821671,NA,0.000191945622347003,0.7,18207,0.000463486086950853,1.00001173125872
"thetaGaze[1]",0.339019,0.413956,0.487142,0.413848009266667,0.037874834970152,NA,0.000243059778657532,0.6,24281,0.00497190278141185,1.00007312151052
"thetaGaze[2]",0.262866,0.3686485,0.46861,0.367439603233333,0.0527793163502373,NA,0.000667208713562001,1.3,6258,0.0283180722283441,1.00045517278075
"thetaGaze[3]",0.295894,0.3821205,0.465504,0.3821699739,0.043275864267745,NA,0.000273708271372957,0.6,24999,-0.00771680932683792,1.00002232002781
"thetaGaze[4]",0.304356,0.401149,0.494177,0.4007605348,0.0482974338821554,NA,0.000414092623392751,0.9,13604,0.00241442755441002,1.00007436726315
"thetaGaze[5]",0.40211,0.477659,0.551719,0.477172569366667,0.0381271694786715,NA,0.000276896391913755,0.7,18960,0.0105329993222276,1.00007485774774
"thetaGaze[6]",0.347692,0.437886,0.523844,0.4364320633,0.0451595100341974,NA,0.000412032634957153,0.9,12013,0.00833252104793227,1.00003977548295
"thetaGaze[7]",0.311267,0.4085815,0.494213,0.406513439666667,0.0462803495287166,NA,0.000679334366125549,1.5,4641,0.072876868956954,1.00024456214602
"thetaGaze[8]",0.355403,0.4418915,0.525549,0.440915470866667,0.0429710330098445,NA,0.000424726983881131,1,10236,-0.00849396663449565,1.0004003882013
