"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",6.63727,7.000555,7.35235,7.00204872633333,0.183257258231439,NA,0.00349384245755318,1.9,2751,0.16824821209277,1.00034406728891
"ndt.mu",0.306241,0.351057,0.396516,0.350835078133333,0.0228408138779331,NA,0.000143461551327084,0.6,25348,0.013432634611259,1.00007973790953
"alpha.mu",0.415466,0.454739,0.495756,0.454796238466667,0.0204214482252554,NA,0.000132673328851286,0.6,23692,-0.00134441677898038,1.00001597109595
"bias.mu",0.487686,0.526657,0.565312,0.5267406838,0.0198197453323258,NA,0.000135615376947174,0.7,21359,-0.000190366403638441,1.00009190249471
"thetaGaze.mu",0.522356,0.576441,0.630207,0.576185579566667,0.0274226061496071,NA,0.000187509754366884,0.7,21388,-0.00364211824092991,1.00010048107538
"thetaGaze[1]",0.514845,0.629981,0.746919,0.629694209233333,0.0594091691438305,NA,0.000530561940796374,0.9,12538,0.00285621814525977,1.00014562391068
"thetaGaze[2]",0.494026,0.5969095,0.700852,0.5957016961,0.0530556429327096,NA,0.000579212660098248,1.1,8390,0.0100223852314219,1.00011604079322
"thetaGaze[3]",0.493509,0.610054,0.722932,0.609291685766667,0.0588587476996483,NA,0.000492132764012763,0.8,14304,-0.0041203196331819,1.00005966329717
"thetaGaze[4]",0.500553,0.61951,0.741729,0.619005123,0.0616989237650566,NA,0.000440695439296012,0.7,19601,0.00266011281361974,1.00004282991192
"thetaGaze[5]",0.566478,0.6551845,0.744914,0.654466774533333,0.0458405536590134,NA,0.000366447850839095,0.8,15649,-0.00501514500259199,1.00002545785536
"thetaGaze[6]",0.34894,0.4559635,0.557681,0.454606402633333,0.0533232632880026,NA,0.000562801049833956,1.1,8977,0.0055956775194146,1.00030516504974
"thetaGaze[7]",0.404873,0.5239675,0.642252,0.5225486674,0.0610326281710132,NA,0.000796031275189378,1.3,5878,0.020626826126486,1.00007422300576
"thetaGaze[8]",0.459363,0.5623315,0.667923,0.560928564733333,0.0534351556805876,NA,0.000507038095124768,0.9,11106,0.0126507281241204,1.00000985253299
"thetaGaze[9]",0.487009,0.576205,0.664626,0.5748902513,0.0454132507633361,NA,0.000415701591356044,0.9,11934,0.012538195241037,1.00004165144553
"thetaGaze[10]",0.43911,0.57096,0.699042,0.569326196866667,0.0661467332394779,NA,0.000549880063466959,0.8,14470,0.0038944970570361,1.00019088750263
"thetaGaze[11]",0.50906,0.6093,0.701799,0.608277839633333,0.0493361215675941,NA,0.000385736905147611,0.8,16359,-0.00331219172592719,1.00003235396791
"thetaGaze[12]",0.493445,0.574944,0.655063,0.5740568705,0.0415206751902777,NA,0.000345236577653306,0.8,14464,0.00139923466626134,0.999993199325159
"thetaGaze[13]",0.481818,0.576836,0.671802,0.575068902333333,0.0485852211444603,NA,0.00055584954933733,1.1,7640,0.0125371538226321,1.00000389165621
"thetaGaze[14]",0.385765,0.4867845,0.591865,0.485700326166667,0.0523230358064621,NA,0.000556060149000069,1.1,8854,0.00641908521650325,1.00017708799462
"thetaGaze[15]",0.54165,0.6440275,0.737107,0.643459771133333,0.0498315863578225,NA,0.000412877385575533,0.8,14567,0.00492436810096627,1.00008578062658
"thetaGaze[16]",0.408763,0.5327645,0.658896,0.5327717346,0.0639351683909516,NA,0.000489015031223485,0.8,17094,0.00825822814493347,0.999992791711244
"thetaGaze[17]",0.477482,0.5888605,0.698357,0.587921985533333,0.0560503086778817,NA,0.000516439826316717,0.9,11779,-0.0062391671525658,1.00000165792814
"thetaGaze[18]",0.471815,0.5812,0.685467,0.5795482893,0.0546500119381454,NA,0.000466871252199734,0.9,13702,0.00514587467393882,1.00015427617036
"thetaGaze[19]",0.577176,0.7065175,0.829228,0.705938886,0.0642853694723147,NA,0.000570566887529732,0.9,12694,-0.000124048456692059,1.00021708031761
"thetaGaze[20]",0.498704,0.585537,0.677267,0.5855825802,0.0455547416648583,NA,0.000467905828951144,1,9479,-0.0124580230626299,1.0010788843638
"thetaGaze[21]",0.408609,0.543977,0.669515,0.542403874133333,0.0669119604290357,NA,0.000673943211220008,1,9857,0.00772443090839519,1.00017035348477
"thetaGaze[22]",0.507919,0.598517,0.684736,0.598278742466667,0.0450805522289422,NA,0.000290583792242897,0.6,24068,-0.00343272184878805,1.00014416555003
"thetaGaze[23]",0.495751,0.584618,0.678166,0.584100293566667,0.0468132984317489,NA,0.000356469741112953,0.8,17246,-0.00123351063612236,0.999985837449804
"thetaGaze[24]",0.448778,0.549205,0.641736,0.5474267223,0.049618194827767,NA,0.000457079290175292,0.9,11784,0.0159226375632321,1.00018694018131
"thetaGaze[25]",0.503898,0.588914,0.672354,0.588070492333333,0.0433443727036891,NA,0.000380983334997455,0.9,12944,0.00859641544108687,1.00011288849207
"thetaGaze[26]",0.441388,0.54976,0.655997,0.548277829366667,0.054973349151325,NA,0.000615344112829962,1.1,7981,0.00561521118196332,1.00027338179133
"thetaGaze[27]",0.411887,0.521825,0.632114,0.520505322733333,0.0563441012742694,NA,0.00053004623506498,0.9,11300,0.00648570314325388,1.00006327348942
"thetaGaze[28]",0.493468,0.589581,0.682843,0.588265791333333,0.0482735089626196,NA,0.000391194602291763,0.8,15228,0.00194741030542907,1.00012603314241
"thetaGaze[29]",0.510632,0.6151575,0.712446,0.6138580741,0.0511007378441501,NA,0.000420725541090945,0.8,14752,0.01143902960615,1.00019408959093
"thetaGaze[30]",0.565566,0.660598,0.747257,0.659778472166667,0.0465094918857926,NA,0.000409261266150067,0.9,12915,0.00347867314505611,1.00018839865697
"b2.p[1]",6.28495,6.94028,7.52741,6.93311374966667,0.315626966943836,NA,0.00431608450861884,1.4,5348,0.0754662708969753,0.999997585642122
"b2.p[2]",6.42683,7.077035,7.78505,7.086500491,0.343825132757316,NA,0.00379037481144527,1.1,8228,0.0430698062142077,1.00006564043532
"b2.p[3]",6.34487,6.97404,7.6089,6.96932418833333,0.318341753348241,NA,0.00374929153661955,1.2,7209,0.0519423792072279,1.00012440521172
"b2.p[4]",6.36563,7.003105,7.66855,7.00223214933333,0.328272290401655,NA,0.00368122649888085,1.1,7952,0.0431967133107319,0.999977003272185
"b2.p[5]",6.44293,7.074675,7.72426,7.08134252333333,0.321940904477802,NA,0.00377934843318523,1.2,7256,0.0542937995777437,1.00017944471401
"b2.p[6]",6.29062,6.943305,7.58885,6.93763809633333,0.329042168256688,NA,0.0039626857573249,1.2,6895,0.0508940511902148,1.00000873035487
"b2.p[7]",6.32723,7.0073,7.73116,7.00989813966667,0.352598692972788,NA,0.00390690371191489,1.1,8145,0.0547494295543896,0.999970733447408
"b2.p[8]",6.44511,7.06364,7.74669,7.06978257,0.328369671370796,NA,0.00366719602284682,1.1,8018,0.0488206519660742,1.0001617337865
"b2.p[9]",6.23904,6.952815,7.61576,6.94596979266667,0.348259501595231,NA,0.00387412394400469,1.1,8081,0.0568486159272804,1.00003558974633
