"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.100","psrf"
"b2.mu",10.2234,10.6189,11.0101,10.621224204,0.201913516223392,NA,0.00504404991761026,2.5,1602,0.349864596961659,1.00140257851327
"ndt.mu",0.277183,0.308488,0.340554,0.3084459188,0.0161409765097085,NA,9.73135043566694e-05,0.6,27511,0.0120501878456989,0.999967750573642
"alpha.mu",0.219116,0.2591895,0.298576,0.258921850133333,0.0200757841497905,NA,0.000137988530342686,0.7,21167,0.0140610539679084,1.00002126313215
"bias.mu",0.473825,0.508867,0.545623,0.508935007366667,0.0181958577503733,NA,0.000127675484306618,0.7,20311,0.00244458314203674,1.00022085908571
"thetaGaze.mu",0.359861,0.406592,0.454939,0.406839812066667,0.0242690238731805,NA,0.000193470381960374,0.8,15735,0.0195900831918236,1.00005217155118
"thetaGaze[1]",0.336505,0.3922495,0.448571,0.392371298633333,0.028470193688784,NA,0.000200785883030062,0.7,20105,0.00937592170831661,1.0003707846054
"thetaGaze[2]",0.381598,0.439463,0.493454,0.438477883233333,0.0286561849226726,NA,0.000356397638620081,1.2,6465,0.0301533647504172,1.00009990046071
"thetaGaze[3]",0.353049,0.403672,0.453966,0.403477157233333,0.0256726382560307,NA,0.00020692415323793,0.8,15393,0.00729349966457265,1.00010179274186
"thetaGaze[4]",0.35851,0.424717,0.488378,0.424040093766667,0.0329398061569964,NA,0.000335199786976714,1,9657,-0.00201240378304202,1.00016309127922
"thetaGaze[5]",0.339285,0.3947735,0.451031,0.394378943133333,0.028452458572975,NA,0.000261215523294476,0.9,11864,0.022702095293822,1.00007872476627
"thetaGaze[6]",0.279787,0.3493345,0.416842,0.3484770905,0.0347918027567655,NA,0.000423534803619848,1.2,6748,0.0146175361869116,1.00027254675439
"thetaGaze[7]",0.321048,0.397104,0.472085,0.396416729633333,0.0385310494500828,NA,0.000643740646456441,1.7,3583,0.107780614341918,1.00206145362036
"thetaGaze[8]",0.316618,0.3835535,0.448103,0.382617048633333,0.0336651152631611,NA,0.000452981327599244,1.3,5523,0.0479799929218921,1.00020103678986
"thetaGaze[9]",0.339708,0.412996,0.481628,0.412041929266667,0.0360450734193591,NA,0.00053184249709046,1.5,4593,0.0552224098378514,1.00015100983963
"thetaGaze[10]",0.321147,0.40211,0.481659,0.401260942466667,0.0408988925769524,NA,0.000538168029257586,1.3,5775,0.046956552568979,1.0008771575134
"thetaGaze[11]",0.34815,0.410646,0.469095,0.409620891833333,0.0307964803393241,NA,0.000352722310502031,1.1,7623,0.0153111961690114,1.0001106916078
"thetaGaze[12]",0.350721,0.401879,0.451626,0.401257910566667,0.0258252627289366,NA,0.000303151895765297,1.2,7257,0.0232635039346167,1.00029419153734
"thetaGaze[13]",0.351549,0.427232,0.498996,0.425759241433333,0.037720828225272,NA,0.000645805695101353,1.7,3412,0.125319720714226,0.999985170467917
"thetaGaze[14]",0.323387,0.393491,0.456407,0.392430134233333,0.0340643209348849,NA,0.000446141199916226,1.3,5830,0.0441807664758688,1.00009474762289
"thetaGaze[15]",0.379762,0.4246695,0.467558,0.4243713975,0.0224514649708032,NA,0.000175137654707141,0.8,16434,0.0167826252866619,1.00009601674077
"thetaGaze[16]",0.305282,0.374709,0.443747,0.374603054633333,0.035308220694318,NA,0.00026474940804321,0.7,17786,-0.00390964565200128,1.00021490166849
"thetaGaze[17]",0.374068,0.433456,0.49304,0.433149066,0.0303802631715415,NA,0.000256725898721308,0.8,14004,-0.0123723752273379,1.00003741983786
"thetaGaze[18]",0.322104,0.390905,0.461207,0.390083253666667,0.0354976369784275,NA,0.000434496546072958,1.2,6675,0.0180718836233212,1.00002835244892
"thetaGaze[19]",0.317023,0.3781225,0.441493,0.378498106933333,0.0318867985602743,NA,0.000260151967091826,0.8,15023,0.00217308552408105,0.999981083387187
"thetaGaze[20]",0.387671,0.4225095,0.457197,0.422537304166667,0.0176669038790353,NA,0.000127818349697578,0.7,19104,0.00210226391766681,1.00031846397233
"thetaGaze[21]",0.33137,0.4004955,0.466574,0.4001650292,0.0344555759143519,NA,0.000356741085071468,1,9329,0.0104181694704324,1.00008459342745
"thetaGaze[22]",0.333694,0.394797,0.452205,0.393973444066667,0.0304477716404556,NA,0.000309082129529126,1,9704,0.0197089662971268,1.00000888463486
"thetaGaze[23]",0.328372,0.382765,0.435195,0.3823205559,0.0272806837891674,NA,0.000231337451192091,0.8,13907,0.00934866000697198,1.0000473364182
"thetaGaze[24]",0.340709,0.414967,0.483887,0.4136734537,0.0364599107121145,NA,0.000564319459294655,1.5,4174,0.0813845986146999,1.00015030874918
"thetaGaze[25]",0.337454,0.4085565,0.476135,0.407215804933333,0.0355832607780878,NA,0.000486504562372029,1.4,5350,0.0387557826595246,1.00032050912997
"thetaGaze[26]",0.315882,0.3847615,0.448316,0.3834281839,0.0337857210747415,NA,0.000487125200222219,1.4,4810,0.0544728001059819,1.00020552809952
"thetaGaze[27]",0.267237,0.363801,0.458181,0.362553024766667,0.0489640820272144,NA,0.000873970121163554,1.8,3139,0.142693821040706,1.00041876419542
"thetaGaze[28]",0.329175,0.395421,0.460943,0.394851281133333,0.0333470004324651,NA,0.000388327683267945,1.2,7374,0.0217788065554082,1.00049007739108
"thetaGaze[29]",0.311394,0.388643,0.460347,0.387132391033333,0.0383183765484652,NA,0.000606744932999634,1.6,3988,0.088991788191505,1.00021693938739
"thetaGaze[30]",0.371947,0.415884,0.457607,0.4156252978,0.0217100931103349,NA,0.00015371229437486,0.7,19948,0.00169613962088188,1.0000003906812
"b2.p[1]",9.89536,10.6405,11.3544,10.6482769703333,0.365874796369986,NA,0.00651898545653847,1.8,3150,0.162792098962192,1.00054211437962
"b2.p[2]",9.74968,10.5178,11.2307,10.5012924906667,0.372982016975765,NA,0.00570572397440777,1.5,4273,0.118060074037496,1.00108468937348
"b2.p[3]",10.0027,10.6734,11.3587,10.680171755,0.344068056687701,NA,0.00512277362125828,1.5,4511,0.102492486607562,1.0004031583377
"b2.p[4]",10.0907,10.75965,11.4934,10.775610981,0.3560846426396,NA,0.00513087060035264,1.4,4816,0.109205270869489,1.00026996948961
"b2.p[5]",9.93905,10.6258,11.3134,10.624542053,0.345856250763225,NA,0.00523202181222666,1.5,4370,0.0977324492237482,1.00070141925452
"b2.p[6]",10.0013,10.6891,11.3915,10.6993382456667,0.351011268424863,NA,0.005230085167328,1.5,4504,0.106706737947009,1.00045508580745
"b2.p[7]",9.86,10.6099,11.3862,10.608115336,0.384358768223827,NA,0.00596294645052464,1.6,4155,0.112349505061656,1.00056251701896
"b2.p[8]",9.908,10.6065,11.2734,10.607733595,0.343777739099527,NA,0.0048760782850803,1.4,4971,0.097336399641086,1.00029901082469
"b2.p[9]",9.78625,10.57,11.2857,10.5601782836667,0.375442090307231,NA,0.0055868580830865,1.5,4516,0.104965618744623,1.00046183127329
"b2.p[10]",9.84475,10.61135,11.3641,10.610486768,0.383187397502964,NA,0.0054187123387475,1.4,5001,0.102892162617089,1.00074838199345
"b2.p[11]",10.018,10.6731,11.3572,10.680653792,0.336750008629534,NA,0.00486233253687316,1.4,4797,0.104297288731397,1.0002400586446
"b2.p[12]",10.0292,10.6872,11.338,10.6953489573333,0.330552287423715,NA,0.00474463851859901,1.4,4854,0.103814069563212,1.00026920679217
"b2.p[13]",9.80975,10.579,11.3385,10.573201434,0.384276708327705,NA,0.00618999792409605,1.6,3854,0.119495714516525,1.00051317587833
"b2.p[14]",9.67842,10.44165,11.1699,10.4184599033333,0.379534430691771,NA,0.00588523915407443,1.6,4159,0.112283522440739,1.00086115162482
"b2.p[15]",9.96901,10.6247,11.281,10.62432622,0.33174223316102,NA,0.00498055982661376,1.5,4437,0.105081370994951,1.00094556755503
"b2.p[16]",9.94471,10.6495,11.3687,10.6573074126667,0.359256974504838,NA,0.00609221698865232,1.7,3477,0.132168341146289,1.00025503961549
"b2.p[17]",9.8921,10.5967,11.3269,10.596130035,0.359606383329986,NA,0.00591448516228422,1.6,3697,0.129026799639557,1.00104485339932
"b2.p[18]",9.95066,10.6524,11.3843,10.658453819,0.357969274660278,NA,0.00498549502607138,1.4,5156,0.0880307831312698,1.00024404759607
"b2.p[19]",9.90968,10.64495,11.3722,10.655816658,0.367421914297747,NA,0.00623502859544206,1.7,3473,0.144647982763932,1.00110969436417
"b2.p[20]",10.0351,10.7111,11.4598,10.7278376316667,0.36105191166513,NA,0.00618629625698683,1.7,3406,0.147425754717961,1.0007335154813
"b2.p[21]",9.9713,10.6469,11.3508,10.649741152,0.34847199772656,NA,0.00530257984075452,1.5,4319,0.113337346333834,1.00072751951628
"b2.p[22]",9.9653,10.6728,11.3781,10.682598401,0.355398150492194,NA,0.00512155475191684,1.4,4815,0.0942903475836827,1.00057207500891
